number,before_col
1,participant.id_in_session
2,participant.code
3,participant.label
4,participant._is_bot
5,participant._index_in_pages
6,participant._max_page_index
7,participant._current_app_name
8,participant._current_page_name
9,participant.time_started_utc
10,participant.visited
11,participant.mturk_worker_id
12,participant.mturk_assignment_id
13,participant.payoff
14,session.code
15,session.label
16,session.mturk_HITId
17,session.mturk_HITGroupId
18,session.comment
19,session.is_demo
20,session.config.real_world_currency_per_point
21,session.config.use_browser_bots
22,session.config.name
